date,last7DaysRegistration_female,last7DaysRegistration_male,last7DaysRegistration_others,last7DaysRegistration_total,registration_female,registration_flwAndHcw,registration_male,registration_online,registration_onspot,registration_others,registration_today,registration_total,sessions_govt,sessions_pvt,sessions_today,sessions_total,sites_govt,sites_pvt,sites_today,sites_total,registration_cit_18_45,registration_cit_45_above
2021-05-03,"[1184069, 892971, 5411244, 4180001, 2403485, 2176801, 1165084]","[1264529, 980582, 7869021, 6173563, 3169525, 2812690, 1491063]","[500, 416, 2791, 3934, 2020, 1936, 1040]","[2449098, 1873969, 13283056, 10357498, 5575030, 4991427, 2657187]",,,,,,,3425240.0,174735677.0,8547199.0,267020.0,,8814219.0,58927.0,2269.0,,61196.0,49555320.0,125180357.0
2021-05-02,"[370953, 1185739, 894602, 5436006, 4195409, 2413514, 2168704]","[403497, 1266203, 982301, 7912275, 6201308, 3185209, 2794406]","[153, 505, 418, 2818, 3966, 2042, 1943]","[774603, 2452447, 1877321, 13351099, 10400683, 5600765, 4965054]",78844175.0,25935362.0,92580687.0,48991034.0,96530375.0,31908.0,2612363.0,171456771.0,5229582.0,167350.0,,5396932.0,36896.0,1463.0,,38359.0,,
2021-05-01,"[793248, 370953, 1185739, 894602, 5436006, 4195409, 2413514]","[887417, 403497, 1266203, 982301, 7912275, 6201308, 3185209]","[310, 153, 505, 418, 2818, 3966, 2042]","[1680975, 774603, 2452447, 1877321, 13351099, 10400683, 5600765]",77684813.0,25907668.0,91107908.0,46603632.0,96312260.0,30838.0,4944206.0,168823560.0,7641559.0,380840.0,,8022399.0,53720.0,3246.0,,56966.0,,
2021-04-30,"[940597, 793143, 370792, 1186002, 894834, 5439417, 4197747]","[1044576, 887275, 403328, 1266496, 982581, 7918332, 6205489]","[428, 310, 153, 505, 418, 2822, 3971]","[1985601, 1680728, 774273, 2453003, 1877833, 13360571, 10407207]",75484727.0,25814287.0,88242414.0,42303254.0,95638488.0,28886.0,5457173.0,163756029.0,8366834.0,629896.0,,8996730.0,58852.0,5190.0,,64042.0,,
2021-04-29,"[983862, 925003, 779513, 358757, 1216119, 920650, 5572184]","[1057924, 1029169, 874259, 392372, 1298565, 1011722, 8147185]","[447, 422, 299, 137, 540, 458, 2965]","[2042233, 1954595, 1654071, 751266, 2515226, 1932830, 13722334]",73223066.0,25679559.0,85224276.0,38378266.0,94416574.0,27033.0,9951640.0,158474399.0,7981569.0,611634.0,,8593203.0,56550.0,5078.0,,61628.0,,
2021-04-28,"[736435, 983862, 925003, 779513, 358757, 1216119, 920650]","[813740, 1057924, 1029169, 874259, 392372, 1298565, 1011722]","[296, 447, 422, 299, 137, 540, 458]","[1550474, 2042233, 1954595, 1654071, 751266, 2515226, 1932830]",69007545.0,25569516.0,79037056.0,29119659.0,93378522.0,23072.0,13267272.0,148067697.0,7510965.0,612575.0,,8123540.0,52428.0,5011.0,,57439.0,,
2021-04-27,"[936984, 736435, 983862, 925003, 779513, 358757, 1216119]","[1064229, 813740, 1057924, 1029169, 874259, 392372, 1298565]","[334, 296, 447, 422, 299, 137, 540]","[2001549, 1550474, 2042233, 1954595, 1654071, 751266, 2515226]",63594869.0,25464066.0,71168652.0,17021956.0,92297765.0,20242.0,1916192.0,134783787.0,8445182.0,747202.0,,9192384.0,59251.0,6119.0,,65370.0,,
2021-04-26,"[1091747, 936984, 736435, 983862, 925003, 779513, 358757]","[1215025, 1064229, 813740, 1057924, 1029169, 874259, 392372]","[349, 334, 296, 447, 422, 299, 137]","[2307121, 2001549, 1550474, 2042233, 1954595, 1654071, 751266]",62677315.0,25343601.0,70160732.0,16491444.0,91022812.0,19786.0,2505488.0,132857857.0,8973703.0,752182.0,,9725885.0,62763.0,6142.0,,68905.0,,
2021-04-25,"[459333, 1091747, 936984, 736435, 983862, 925003, 779513]","[514525, 1215025, 1064229, 813740, 1057924, 1029169, 874259]","[139, 349, 334, 296, 447, 422, 299]","[973998, 2307121, 2001549, 1550474, 2042233, 1954595, 1654071]",61462598.0,25210711.0,68863681.0,15866912.0,89267931.0,19253.0,744451.0,130345554.0,5397276.0,447707.0,,5844983.0,38229.0,3698.0,,41927.0,,
2021-04-24,"[962628, 454185, 1084770, 930380, 728188, 964558, 916746]","[1079588, 509656, 1208113, 1058144, 805995, 1039309, 1022576]","[325, 141, 346, 327, 290, 431, 414]","[2042543, 963983, 2293229, 1988853, 1534476, 2004298, 1939737]",57411146.0,24373834.0,64778102.0,14229286.0,83603843.0,17693.0,1647809.0,122206963.0,7646751.0,653419.0,,8300170.0,54232.0,5380.0,,59612.0,,
2021-04-23,"[998879, 962628, 454185, 1084770, 930380, 728188, 964558]","[1090446, 1079588, 509656, 1208113, 1058144, 805995, 1039309]","[313, 325, 141, 346, 327, 290, 431]","[2089638, 2042543, 963983, 2293229, 1988853, 1534476, 2004298]",56631714.0,24265789.0,63903863.0,14052009.0,82235196.0,17395.0,1933577.0,120552994.0,8946669.0,825555.0,,9772224.0,61847.0,6728.0,,68575.0,,
2021-04-22,"[1044777, 998879, 962628, 454185, 1084770, 930380, 728188]","[1143980, 1090446, 1079588, 509656, 1208113, 1058144, 805995]","[378, 313, 325, 141, 346, 327, 290]","[2189135, 2089638, 2042543, 963983, 2293229, 1988853, 1534476]",55684077.0,24135932.0,62849694.0,13794518.0,80620303.0,16961.0,1935634.0,118550753.0,9621586.0,837750.0,,10459336.0,67156.0,6777.0,,73933.0,,
2021-04-21,"[1436208, 1044777, 998879, 962628, 454185, 1084770, 930380]","[1504587, 1143980, 1090446, 1079588, 509656, 1208113, 1058144]","[468, 378, 313, 325, 141, 346, 327]","[2941263, 2189135, 2089638, 2042543, 963983, 2293229, 1988853]",54750993.0,24034292.0,61842618.0,13587750.0,78988136.0,16546.0,1529535.0,116610178.0,8708410.0,829371.0,,9537781.0,60442.0,6681.0,,67123.0,,
2021-04-20,"[1114698, 1436208, 1044777, 998879, 962628, 454185, 1084770]","[1288295, 1504587, 1143980, 1090446, 1079588, 509656, 1208113]","[368, 468, 378, 313, 325, 141, 346]","[2403362, 2941263, 2189135, 2089638, 2042543, 963983, 2293229]",54022653.0,23958152.0,61036353.0,13431917.0,77685215.0,16260.0,1983494.0,115075284.0,9298353.0,864654.0,,10163007.0,64215.0,6836.0,,71051.0,,
2021-04-19,"[1690043, 1114698, 1436208, 1044777, 998879, 962628, 454185]","[1785505, 1288295, 1504587, 1143980, 1090446, 1079588, 509656]","[593, 368, 468, 378, 313, 325, 141]","[3476141, 2403362, 2941263, 2189135, 2089638, 2042543, 963983]",53091774.0,23831525.0,59977546.0,13265984.0,75987759.0,15932.0,2286707.0,113085268.0,9773864.0,858794.0,,10632658.0,66720.0,6786.0,,73506.0,,
2021-04-18,"[1210183, 1690043, 1114698, 1436208, 1044777, 998879, 962628]","[1272006, 1785505, 1288295, 1504587, 1143980, 1090446, 1079588]","[408, 593, 368, 468, 378, 313, 325]","[2482597, 3476141, 2403362, 2941263, 2189135, 2089638, 2042543]",52007989.0,23680448.0,58770559.0,13104393.0,74009307.0,15584.0,959570.0,110794148.0,7741539.0,654395.0,,8395934.0,52935.0,5277.0,,58212.0,,
2021-04-17,"[1555560, 1210183, 1690043, 1114698, 1436208, 1044777, 998879]","[1586160, 1272006, 1785505, 1288295, 1504587, 1143980, 1090446]","[465, 408, 593, 368, 468, 378, 313]","[3142185, 2482597, 3476141, 2403362, 2941263, 2189135, 2089638]",51553131.0,23645578.0,58260285.0,13005877.0,73177420.0,15444.0,2036840.0,109828875.0,7780482.0,740735.0,,8521217.0,54173.0,5884.0,,60057.0,,
2021-04-16,"[1640183, 1555560, 1210183, 1690043, 1114698, 1436208, 1044777]","[1643579, 1586160, 1272006, 1785505, 1288295, 1504587, 1143980]","[496, 465, 408, 593, 368, 468, 378]","[3284258, 3142185, 2482597, 3476141, 2403362, 2941263, 2189135]",50590069.0,23549210.0,57180251.0,12854041.0,71382199.0,15117.0,2083053.0,107785450.0,8832475.0,948010.0,,9780485.0,59300.0,7081.0,,66381.0,,
2021-04-15,"[1755528, 1640183, 1555560, 1210183, 1690043, 1114698, 1436208]","[1732930, 1643579, 1586160, 1272006, 1785505, 1288295, 1504587]","[453, 496, 465, 408, 593, 368, 468]","[3488911, 3284258, 3142185, 2482597, 3476141, 2403362, 2941263]",49560810.0,23450612.0,56058298.0,12667363.0,69515944.0,14798.0,2120657.0,105633919.0,8845159.0,925860.0,,9771019.0,59218.0,7066.0,,66284.0,,
2021-04-14,"[1437497, 1755528, 1640183, 1555560, 1210183, 1690043, 1114698]","[1435392, 1732930, 1643579, 1586160, 1272006, 1785505, 1288295]","[375, 453, 496, 465, 408, 593, 368]","[2873264, 3488911, 3284258, 3142185, 2482597, 3476141, 2403362]",48544929.0,23371297.0,54944426.0,12508473.0,67624027.0,14429.0,2931798.0,103503797.0,9844011.0,942951.0,,10786962.0,62894.0,6938.0,,69832.0,,
2021-04-13,"[412218, 1437497, 1755528, 1640183, 1555560, 1210183, 1690043]","[437232, 1435392, 1732930, 1643579, 1586160, 1272006, 1785505]","[94, 375, 453, 496, 465, 408, 593]","[849544, 2873264, 3488911, 3284258, 3142185, 2482597, 3476141]",47109739.0,23287552.0,53440691.0,12345099.0,64931751.0,13959.0,2395765.0,100564402.0,9120897.0,926011.0,,10046908.0,61021.0,6813.0,,67834.0,,
2021-04-12,"[1568200, 412218, 1437497, 1755528, 1640183, 1555560, 1210183]","[1560694, 437232, 1435392, 1732930, 1643579, 1586160, 1272006]","[380, 94, 375, 453, 496, 465, 408]","[3129274, 849544, 2873264, 3488911, 3284258, 3142185, 2482597]",45993588.0,23225034.0,52150985.0,12173669.0,62759474.0,13592.0,3465681.0,98158177.0,9698211.0,965877.0,,10664088.0,64348.0,7206.0,,71554.0,,
2021-04-11,"[825349, 1568200, 412218, 1437497, 1755528, 1640183, 1555560]","[863358, 1560694, 437232, 1435392, 1732930, 1643579, 1586160]","[244, 380, 94, 375, 453, 496, 465]","[1688951, 3129274, 849544, 2873264, 3488911, 3284258, 3142185]",44304351.0,23145290.0,50366432.0,11948213.0,59590293.0,13001.0,2473897.0,94683796.0,8968520.0,761460.0,,9729980.0,58041.0,5607.0,,63648.0,,
2021-04-10,"[1289525, 825349, 1568200, 412218, 1437497, 1755528, 1640183]","[1375729, 863358, 1560694, 437232, 1435392, 1732930, 1643579]","[312, 244, 380, 94, 375, 453, 496]","[2665566, 1688951, 3129274, 849544, 2873264, 3488911, 3284258]",43091896.0,23102769.0,49092319.0,11769387.0,57324663.0,12592.0,3129105.0,92196819.0,7899453.0,811310.0,,8710763.0,52372.0,6222.0,,58594.0,,
2021-04-09,"[1380292, 1289525, 825349, 1568200, 412218, 1437497, 1755528]","[1470154, 1375729, 863358, 1560694, 437232, 1435392, 1732930]","[334, 312, 244, 380, 94, 375, 453]","[2850780, 2665566, 1688951, 3129274, 849544, 2873264, 3488911]",41538718.0,23031332.0,47508450.0,11545985.0,54481988.0,12125.0,3275849.0,89059305.0,8991451.0,977558.0,,9969009.0,58587.0,7127.0,,65714.0,,
2021-04-08,"[1412078, 1380292, 1289525, 825349, 1568200, 412218, 1437497]","[1512078, 1470154, 1375729, 863358, 1560694, 437232, 1435392]","[327, 334, 312, 244, 380, 94, 375]","[2924483, 2850780, 2665566, 1688951, 3129274, 849544, 2873264]",39897672.0,22991579.0,45864193.0,11297004.0,51484922.0,11628.0,3478960.0,85773505.0,8993552.0,919706.0,,9913258.0,58757.0,6749.0,,65506.0,,
2021-04-07,"[927193, 1412078, 1380292, 1289525, 825349, 1568200, 412218]","[951268, 1512078, 1470154, 1375729, 863358, 1560694, 437232]","[250, 327, 334, 312, 244, 380, 94]","[1878711, 2924483, 2850780, 2665566, 1688951, 3129274, 849544]",37864411.0,22988380.0,43848591.0,10994249.0,47741485.0,11100.0,2302833.0,81724114.0,7977438.0,893540.0,,8870978.0,52288.0,6538.0,,58826.0,,
2021-04-06,"[4180001, 2403485, 2176801, 1165084, 1511453, 1392390, 1463488]","[6173563, 3169525, 2812690, 1491063, 1970368, 1819270, 1873805]","[3934, 2020, 1936, 1040, 1351, 1211, 1209]","[10357498, 5575030, 4991427, 2657187, 3483172, 3212871, 3338502]",,,,,,,3466416.0,184811384.0,8426697.0,281327.0,,8708024.0,58391.0,2280.0,,60671.0,56176891.0,128634493.0
2021-04-05,"[329329, 858281, 927193, 1412078, 1380292, 1289525, 825349]","[313028, 858392, 951268, 1512078, 1470154, 1375729, 863358]","[86, 218, 250, 327, 334, 312, 244]","[642443, 1716891, 1878711, 2924483, 2850780, 2665566, 1688951]",36171349.0,22986495.0,42140592.0,10781495.0,44554635.0,10672.0,2880162.0,78322625.0,9010135.0,936958.0,,9947093.0,58252.0,6708.0,,64960.0,,
2021-04-04,"[191342, 329329, 858281, 927193, 1412078, 1380292, 1289525]","[196153, 313028, 858392, 951268, 1512078, 1470154, 1375729]","[53, 86, 218, 250, 327, 334, 312]","[387548, 642443, 1716891, 1878711, 2924483, 2850780, 2665566]",34612523.0,22985453.0,40587022.0,10585966.0,41638429.0,10291.0,1456336.0,75209848.0,6134039.0,645795.0,,6779834.0,38856.0,4686.0,,43542.0,,
