Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
985851.0,Tripura,1492618.0,506767.0,317,2021-05-16
4450013.0,Telangana,5513723.0,1063710.0,0,2021-05-16
5172965.0,Tamil Nadu,7088176.0,1915211.0,11773,2021-05-16
166562.0,Sikkim,226156.0,59594.0,362,2021-05-16
12264148.0,Rajasthan,15249948.0,2985800.0,113402,2021-05-16
3493453.0,Punjab,4200672.0,707219.0,5311,2021-05-16
183604.0,Puducherry,234107.0,50503.0,583,2021-05-16
5257596.0,Odisha,6662987.0,1405391.0,1425,2021-05-16
182306.0,Nagaland,234090.0,51784.0,255,2021-05-16
238816.0,Mizoram,289783.0,50967.0,4,2021-05-16
307585.0,Manipur,377312.0,69727.0,312,2021-05-16
15756833.0,Maharashtra,19985484.0,4228651.0,68694,2021-05-16
7473284.0,Madhya Pradesh,9164574.0,1691290.0,240,2021-05-16
21472.0,Lakshadweep,28282.0,6810.0,6,2021-05-16
86645.0,Ladakh,123897.0,37252.0,0,2021-05-16
6454137.0,Kerala,8451480.0,1997343.0,32793,2021-05-16
8942960.0,Karnataka,11448846.0,2505886.0,21443,2021-05-16
2919090.0,Jharkhand,3585174.0,666084.0,42024,2021-05-16
2321690.0,Jammu and Kashmir,2854854.0,533164.0,8284,2021-05-16
1787942.0,Himachal Pradesh,2220769.0,432827.0,3496,2021-05-16
4019157.0,Haryana,4937347.0,918190.0,41920,2021-05-16
11243101.0,Gujarat,15085762.0,3842661.0,30137,2021-05-16
344615.0,Goa,438881.0,94266.0,2313,2021-05-16
3544850.0,Delhi,4603220.0,1058370.0,91094,2021-05-16
45566.0,Dadra and Nagar Haveli,57471.0,11905.0,1374,2021-05-16
8958736.0,West Bengal,12678649.0,3719913.0,4493,2021-05-16
5062151.0,Chhattisgarh,6142785.0,1080634.0,3967,2021-05-16
7303994.0,Bihar,8994996.0,1691002.0,122802,2021-05-16
212260.0,Chandigarh,285946.0,73686.0,1107,2021-05-16
12151403.0,Rajasthan,15135482.0,2984079.0,136811.0,2021-05-15
342243.0,Goa,436458.0,94215.0,10579.0,2021-05-15
11723371.0,Uttar Pradesh,14983606.0,3260235.0,194636.0,2021-05-15
2876996.0,Jharkhand,3541498.0,664502.0,57063.0,2021-05-15
2313307.0,Jammu and Kashmir,2846293.0,532986.0,15214.0,2021-05-15
1784546.0,Himachal Pradesh,2217221.0,432675.0,23886.0,2021-05-15
3977395.0,Haryana,4893748.0,916353.0,48906.0,2021-05-15
11213044.0,Gujarat,15055582.0,3842538.0,32986.0,2021-05-15
3464560.0,Delhi,4511407.0,1046847.0,118233.0,2021-05-15
6426197.0,Kerala,8417840.0,1991643.0,156502.0,2021-05-15
44198.0,Dadra and Nagar Haveli,56097.0,11899.0,1610.0,2021-05-15
5058803.0,Chhattisgarh,6138265.0,1079462.0,33931.0,2021-05-15
211162.0,Chandigarh,284834.0,73672.0,5570.0,2021-05-15
7180068.0,Bihar,8869524.0,1689456.0,145141.0,2021-05-15
2631676.0,Assam,3362553.0,730877.0,55506.0,2021-05-15
218759.0,Arunachal Pradesh,296640.0,77881.0,1611.0,2021-05-15
5484714.0,Andhra Pradesh,7651927.0,2167213.0,73434.0,2021-05-15
8927204.0,Karnataka,11424456.0,2497252.0,102168.0,2021-05-15
86645.0,Ladakh,123897.0,37252.0,1080.0,2021-05-15
47449.0,Daman and Diu,61421.0,13972.0,2325.0,2021-05-15
21452.0,Lakshadweep,28258.0,6806.0,16.0,2021-05-15
166200.0,Sikkim,225794.0,59594.0,97.0,2021-05-15
5162834.0,Tamil Nadu,7074066.0,1911232.0,49404.0,2021-05-15
1964930.0,Uttarakhand,2645339.0,680409.0,30851.0,2021-05-15
4450028.0,Telangana,5513738.0,1063710.0,153.0,2021-05-15
985530.0,Tripura,1492191.0,506661.0,5498.0,2021-05-15
8955081.0,West Bengal,12673069.0,3717988.0,59942.0,2021-05-15
3488899.0,Punjab,4195166.0,706267.0,15885.0,2021-05-15
183038.0,Puducherry,233493.0,50455.0,2426.0,2021-05-15
5256185.0,Odisha,6661562.0,1405377.0,34149.0,2021-05-15
182048.0,Nagaland,233825.0,51777.0,350.0,2021-05-15
238803.0,Mizoram,289770.0,50967.0,584.0,2021-05-15
326762.0,Meghalaya,400823.0,74061.0,4815.0,2021-05-15
307272.0,Manipur,376997.0,69725.0,6885.0,2021-05-15
15706411.0,Maharashtra,19912961.0,4206550.0,192673.0,2021-05-15
7472841.0,Madhya Pradesh,9163547.0,1690706.0,117853.0,2021-05-15
100058.0,Andaman and Nicobar Islands,115188.0,15130.0,539.0,2021-05-15
5126070.0,Tamil Nadu,7009930.0,1883860.0,41766,2021-05-14
166119.0,Sikkim,225702.0,59583.0,675,2021-05-14
8929070.0,West Bengal,12609247.0,3680177.0,41463,2021-05-14
8885120.0,Karnataka,11296508.0,2411388.0,69857,2021-05-14
980319.0,Tripura,1486004.0,505685.0,5535,2021-05-14
4450029.0,Telangana,5513553.0,1063524.0,27802,2021-05-14
85688.0,Ladakh,122800.0,37112.0,0,2021-05-14
21440.0,Lakshadweep,28241.0,6801.0,0,2021-05-14
7403682.0,Madhya Pradesh,9037120.0,1633438.0,1021,2021-05-14
15571915.0,Maharashtra,19703138.0,4131223.0,152297,2021-05-14
300409.0,Manipur,370000.0,69591.0,5375,2021-05-14
321576.0,Meghalaya,395450.0,73874.0,8002,2021-05-14
238093.0,Mizoram,288999.0,50906.0,762,2021-05-14
181746.0,Nagaland,233433.0,51687.0,1098,2021-05-14
5229023.0,Odisha,6625243.0,1396220.0,44318,2021-05-14
181667.0,Puducherry,230849.0,49182.0,2179,2021-05-14
3474171.0,Punjab,4176283.0,702112.0,14534,2021-05-14
12027499.0,Rajasthan,14991949.0,2964450.0,50508,2021-05-14
2825315.0,Jharkhand,3480054.0,654739.0,46821,2021-05-14
2301414.0,Jammu and Kashmir,2829044.0,527630.0,15323,2021-05-14
1767255.0,Himachal Pradesh,2191401.0,424146.0,13910,2021-05-14
2578539.0,Assam,3305992.0,727453.0,23906,2021-05-14
1937336.0,Uttarakhand,2613490.0,676154.0,33199,2021-05-14
11590929.0,Uttar Pradesh,14771189.0,3180260.0,171654,2021-05-14
45797.0,Daman and Diu,58851.0,13054.0,2062,2021-05-14
99690.0,Andaman and Nicobar Islands,114498.0,14808.0,8,2021-05-14
5474544.0,Andhra Pradesh,7570886.0,2096342.0,15237,2021-05-14
217389.0,Arunachal Pradesh,295034.0,77645.0,1468,2021-05-14
